year,lgID,tmID,franchID,confID,divID,rank,playoff,seeded,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,W,L,awards,diff_fgm,diff_fga,diff_ftm,diff_fta,diff_3pm,diff_3pa,diff_oreb,diff_dreb,diff_reb,diff_asts,diff_pf,diff_stl,diff_to,diff_blk,diff_pts,diff_tmORB,diff_tmDRB,diff_tmTRB,diff_won,diff_homeW,diff_awayW,diff_confW,diff_W,mean_diff_fgm,mean_diff_fga,mean_diff_ftm,mean_diff_fta,mean_diff_3pm,mean_diff_3pa,mean_diff_oreb,mean_diff_dreb,mean_diff_reb,mean_diff_asts,mean_diff_pf,mean_diff_stl,mean_diff_to,mean_diff_blk,mean_diff_pts,mean_diff_tmORB,mean_diff_tmDRB,mean_diff_tmTRB,mean_diff_won,mean_diff_homeW,mean_diff_awayW,mean_diff_confW,mean_diff_W,next_year_playoff
1,WNBA,HOU,HOU,WE,,2,1,0,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,0,0,0,0,0,0,27,5,32,14,2,13,3,17,4,6475,196077,Compaq Center,6.0,0.0,4,105,-44,151,126,48,73,-17,112,95,21,-94,51,-40,19,409,0,0,0,22,12,10,13,6.0,105.0,-44.0,151.0,126.0,48.0,73.0,-17.0,112.0,95.0,21.0,-94.0,51.0,-40.0,19.0,409.0,0.0,0.0,0.0,22.0,12.0,10.0,13.0,6.0,1.0
2,WNBA,HOU,HOU,WE,,4,1,0,L,,,Houston Comets,747,1908,415,539,138,435,348,710,1058,426,509,251,436,95,2047,740,1883,362,504,152,456,297,685,982,452,561,248,433,120,1994,0,0,0,0,0,0,19,13,32,11,5,8,8,13,8,6450,181115,Compaq Center,0.0,2.0,1,7,25,53,35,-14,-21,51,25,76,-26,-52,3,3,-25,53,0,0,0,6,6,0,5,-2.0,39.666666666666664,2.0,85.66666666666667,65.33333333333333,6.666666666666667,10.333333333333334,28.333333333333332,54.0,82.33333333333333,-10.333333333333334,-66.0,19.0,-11.333333333333334,-10.333333333333334,171.66666666666666,0.0,0.0,0.0,11.333333333333334,8.0,3.3333333333333335,7.666666666666667,0.6666666666666666,1.0
3,WNBA,HOU,HOU,WE,,2,1,0,L,,,Houston Comets,755,1778,453,585,109,332,299,702,1001,450,467,260,455,126,2072,705,1880,331,452,151,489,309,664,973,446,606,262,464,71,1892,0,0,0,0,0,0,24,8,32,14,2,10,6,16,5,6425,188648,Compaq Center,1.0,2.0,2,50,-102,122,133,-42,-157,-10,38,28,4,-139,-2,-9,55,180,0,0,0,16,12,4,11,-1.0,35.666666666666664,-59.666666666666664,99.0,100.33333333333333,-32.666666666666664,-111.66666666666667,10.333333333333334,33.666666666666664,44.0,-6.0,-110.0,-0.3333333333333333,-5.0,28.333333333333332,137.66666666666666,0.0,0.0,0.0,12.666666666666666,10.0,2.6666666666666665,9.0,-1.3333333333333333,1.0
4,WNBA,HOU,HOU,WE,,2,1,0,L,,,Houston Comets,828,1916,473,600,115,344,266,764,1030,465,490,231,450,129,2244,824,2030,325,448,169,500,298,708,1006,516,634,227,430,122,2142,0,0,0,0,0,0,20,14,34,14,3,6,11,14,10,6825,150203,Compaq Center,1.0,2.0,2,4,-114,148,152,-54,-156,-32,56,24,-51,-144,4,20,7,102,0,0,0,6,11,-5,4,-1.0,19.333333333333332,-110.0,139.33333333333334,145.66666666666666,-50.0,-156.33333333333334,-24.666666666666668,50.0,25.333333333333332,-32.666666666666664,-142.33333333333334,2.0,10.333333333333334,23.0,128.0,0.0,0.0,0.0,9.333333333333334,11.333333333333334,-2.0,6.333333333333333,-1.0,0.0
5,WNBA,HOU,HOU,WE,,6,0,0,,,,Houston Comets,798,1933,458,615,123,358,311,724,1035,451,555,242,484,107,2177,834,2008,391,531,152,434,335,720,1055,539,655,258,471,129,2211,0,0,0,0,0,0,13,21,34,9,8,4,13,7,15,6850,137455,Toyota Center,0.0,0.0,0,-36,-75,67,84,-29,-76,-24,4,-20,-88,-100,-16,13,-22,-34,0,0,0,-8,1,-9,-8,0.0,-22.666666666666668,-88.0,94.0,106.66666666666667,-37.333333333333336,-102.66666666666667,-26.666666666666668,21.333333333333332,-5.333333333333333,-75.66666666666667,-114.66666666666667,-9.333333333333334,15.333333333333334,-12.333333333333334,11.333333333333334,0.0,0.0,0.0,-3.3333333333333335,4.333333333333333,-7.666666666666667,-4.0,-0.3333333333333333,1.0
6,WNBA,HOU,HOU,WE,,3,1,0,W,L,,Houston Comets,860,1920,527,690,62,205,276,684,960,467,581,246,425,105,2309,848,1944,419,559,148,423,274,687,961,541,685,197,481,111,2263,0,0,0,0,0,0,19,15,34,11,6,8,9,11,11,6875,120676,Toyota Center,2.0,3.0,2,12,-24,108,131,-86,-218,2,-3,-1,-74,-104,49,-56,-6,46,0,0,0,4,5,-1,0,-1.0,-4.0,-41.0,94.33333333333333,115.33333333333333,-67.0,-170.66666666666666,-6.666666666666667,-0.6666666666666666,-7.333333333333333,-78.66666666666667,-102.66666666666667,27.333333333333332,-33.0,-11.333333333333334,19.333333333333332,0.0,0.0,0.0,0.0,3.6666666666666665,-3.6666666666666665,-2.6666666666666665,-0.6666666666666666,1.0
7,WNBA,HOU,HOU,WE,,3,1,0,L,,,Houston Comets,928,2098,482,678,169,472,303,822,1125,532,617,252,566,84,2507,928,2232,445,615,148,496,337,787,1124,526,705,298,519,89,2449,0,0,0,0,0,0,18,16,34,12,5,6,11,11,9,6925,130586,Toyota Center,0.0,2.0,4,0,-134,37,63,21,-24,-34,35,1,6,-88,-46,47,-5,58,0,0,0,2,7,-5,2,-2.0,4.0,-97.33333333333333,60.666666666666664,85.66666666666667,-14.666666666666666,-88.66666666666667,-22.0,22.333333333333332,0.3333333333333333,-20.666666666666668,-93.33333333333333,-14.333333333333334,12.666666666666666,-5.333333333333333,54.0,0.0,0.0,0.0,2.6666666666666665,6.333333333333333,-3.6666666666666665,1.3333333333333333,-1.6666666666666667,0.0
8,WNBA,HOU,HOU,WE,,5,0,0,,,,Houston Comets,915,2149,554,721,126,365,374,770,1144,558,655,289,633,109,2510,924,2190,578,719,202,581,342,721,1063,588,677,310,568,160,2628,0,0,0,0,0,0,13,21,34,7,10,6,11,10,12,6800,138816,Toyota Center,0.0,0.0,0,-9,-41,-24,2,-76,-216,32,49,81,-30,-22,-21,65,-51,-118,0,0,0,-8,-3,-5,-2,0.0,-6.0,-72.0,-3.6666666666666665,22.333333333333332,-43.666666666666664,-152.0,10.0,44.333333333333336,54.333333333333336,-18.0,-44.0,-29.333333333333332,59.0,-35.666666666666664,-59.333333333333336,0.0,0.0,0.0,-4.666666666666667,0.3333333333333333,-5.0,-0.6666666666666666,-0.6666666666666666,0.0
9,WNBA,HOU,HOU,WE,,5,0,0,,,,Houston Comets,923,2213,563,736,152,481,376,803,1179,556,728,295,599,120,2561,903,2186,582,781,218,580,349,743,1092,542,744,313,555,165,2606,0,0,0,0,0,0,17,17,34,13,4,4,13,10,10,6925,111951,Toyota Center,0.0,0.0,0,20,27,-19,-45,-66,-99,27,60,87,14,-16,-18,44,-45,-45,0,0,0,0,9,-9,0,0.0,10.333333333333334,4.333333333333333,-20.666666666666668,-29.333333333333332,-69.33333333333333,-138.0,28.666666666666668,56.333333333333336,85.0,-0.6666666666666666,-18.0,-19.0,51.0,-47.0,-69.33333333333333,0.0,0.0,0.0,-2.6666666666666665,5.0,-7.666666666666667,-0.6666666666666666,0.0,
1,WNBA,IND,IND,EA,,7,0,0,,,,Indiana Fever,796,1838,428,569,193,521,285,647,932,501,642,271,518,126,2213,839,1868,503,669,109,358,321,633,954,528,612,267,476,75,2290,0,0,0,0,0,0,9,23,32,5,11,4,12,7,14,6425,180270,Conseco Fieldhouse,0.0,0.0,0,-43,-30,-75,-100,84,163,-36,14,-22,-27,30,4,42,51,-77,0,0,0,-14,-6,-8,-7,0.0,-43.0,-30.0,-75.0,-100.0,84.0,163.0,-36.0,14.0,-22.0,-27.0,30.0,4.0,42.0,51.0,-77.0,0.0,0.0,0.0,-14.0,-6.0,-8.0,-7.0,0.0,0.0
2,WNBA,IND,IND,EA,,6,0,0,,,,Indiana Fever,762,1822,472,591,157,446,286,649,935,458,600,242,491,118,2153,853,1899,412,583,131,367,306,660,966,565,616,256,466,140,2249,0,0,0,0,0,0,10,22,32,7,9,3,13,7,14,6475,138922,Conseco Fieldhouse,0.0,0.0,0,-91,-77,60,8,26,79,-20,-11,-31,-107,-16,-14,25,-22,-96,0,0,0,-12,-2,-10,-7,0.0,-75.0,-61.333333333333336,15.0,-28.0,45.333333333333336,107.0,-25.333333333333332,-2.6666666666666665,-28.0,-80.33333333333333,-0.6666666666666666,-8.0,30.666666666666668,2.3333333333333335,-89.66666666666667,0.0,0.0,0.0,-12.666666666666666,-3.3333333333333335,-9.333333333333334,-7.0,0.0,1.0
3,WNBA,IND,IND,EA,,4,1,0,L,,,Indiana Fever,731,1825,455,580,180,543,315,633,948,447,559,268,438,100,2097,804,1817,359,503,162,464,288,644,932,507,647,226,470,145,2129,0,0,0,0,0,0,16,16,32,10,6,6,10,12,9,6425,134945,Conseco Fieldhouse,1.0,2.0,1,-73,8,96,77,18,79,27,-11,16,-60,-88,42,-32,-45,-32,0,0,0,0,4,-4,3,-1.0,-79.0,-20.333333333333332,84.0,54.0,20.666666666666668,79.0,11.333333333333334,-11.0,0.3333333333333333,-75.66666666666667,-64.0,23.333333333333332,-13.0,-37.333333333333336,-53.333333333333336,0.0,0.0,0.0,-4.0,2.0,-6.0,-0.3333333333333333,-0.6666666666666666,0.0
4,WNBA,IND,IND,EA,,5,0,0,,,,Indiana Fever,839,2011,449,563,210,600,334,654,988,539,668,299,474,121,2337,837,1908,490,638,157,421,309,677,986,570,631,227,512,170,2321,0,0,0,0,0,0,16,18,34,11,6,5,12,12,12,6875,141778,Conseco Fieldhouse,0.0,0.0,0,2,103,-41,-75,53,179,25,-23,2,-31,37,72,-38,-49,16,0,0,0,-2,5,-7,0,0.0,-23.0,71.33333333333333,4.666666666666667,-24.333333333333332,41.333333333333336,145.66666666666666,25.666666666666668,-19.0,6.666666666666667,-40.666666666666664,-4.666666666666667,62.0,-36.0,-47.666666666666664,0.0,0.0,0.0,0.0,-1.3333333333333333,4.666666666666667,-6.0,1.0,-0.3333333333333333,0.0
5,WNBA,IND,IND,EA,,6,0,0,,,,Indiana Fever,791,2011,450,580,166,481,396,705,1101,555,639,261,486,134,2198,804,1865,516,695,121,352,281,688,969,514,603,268,466,162,2245,0,0,0,0,0,0,15,19,34,10,7,5,12,8,12,6850,128989,Conseco Fieldhouse,0.0,0.0,1,-13,146,-66,-115,45,129,115,17,132,41,36,-7,20,-28,-47,0,0,0,-4,3,-7,-4,0.0,-8.0,131.66666666666666,-57.666666666666664,-101.66666666666667,47.666666666666664,145.66666666666666,85.0,3.6666666666666665,88.66666666666667,17.0,36.333333333333336,19.333333333333332,0.6666666666666666,-35.0,-26.0,0.0,0.0,0.0,-3.3333333333333335,3.6666666666666665,-7.0,-2.6666666666666665,0.0,1.0
6,WNBA,IND,IND,EA,,2,1,0,W,L,,Indiana Fever,784,1958,452,595,150,468,341,671,1012,493,668,336,477,95,2170,775,1798,460,642,123,367,279,711,990,435,644,234,558,113,2133,0,0,0,0,0,0,21,13,34,14,3,7,10,14,6,6925,142494,Conseco Fieldhouse,2.0,2.0,1,9,160,-8,-47,27,101,62,-40,22,58,24,102,-81,-18,37,0,0,0,8,11,-3,8,0.0,1.6666666666666667,155.33333333333334,-27.333333333333332,-69.66666666666667,33.0,110.33333333333333,79.66666666666667,-21.0,58.666666666666664,52.333333333333336,28.0,65.66666666666667,-47.333333333333336,-21.333333333333332,9.0,0.0,0.0,0.0,4.0,8.333333333333334,-4.333333333333333,4.0,0.0,1.0
7,WNBA,IND,IND,EA,,3,1,0,L,,,Indiana Fever,873,2144,518,676,171,551,339,755,1094,501,606,354,528,93,2435,883,2043,413,559,137,444,288,773,1061,507,685,259,617,105,2316,0,0,0,0,0,0,21,13,34,12,5,9,8,12,8,6850,122768,Conseco Fieldhouse,0.0,2.0,2,-10,101,105,117,34,107,51,-18,33,-6,-79,95,-89,-12,119,0,0,0,8,7,1,4,-2.0,-3.6666666666666665,120.66666666666667,67.33333333333333,62.333333333333336,31.666666666666668,105.0,54.666666666666664,-25.333333333333332,29.333333333333332,15.333333333333334,-44.666666666666664,97.33333333333333,-86.33333333333333,-14.0,91.66666666666667,0.0,0.0,0.0,8.0,8.333333333333334,-0.3333333333333333,5.333333333333333,-1.3333333333333333,1.0
8,WNBA,IND,IND,EA,,2,1,0,W,L,,Indiana Fever,907,2167,478,617,188,546,341,812,1153,511,646,308,589,136,2480,881,2192,450,608,158,483,369,795,1164,475,663,280,610,114,2370,0,0,0,0,0,0,21,13,34,12,5,9,8,12,8,6875,133915,Conseco Fieldhouse,3.0,3.0,1,26,-25,28,9,30,63,-28,17,-11,36,-17,28,-21,22,110,0,0,0,8,7,1,4,0.0,14.0,17.0,53.666666666666664,45.0,31.333333333333332,77.66666666666667,-1.6666666666666667,5.333333333333333,3.6666666666666665,22.0,-37.666666666666664,50.333333333333336,-43.666666666666664,10.666666666666666,113.0,0.0,0.0,0.0,8.0,7.0,1.0,4.0,-0.6666666666666666,1.0
9,WNBA,IND,IND,EA,,4,1,0,L,,,Indiana Fever,876,2179,495,656,226,662,349,778,1127,500,727,324,585,165,2473,891,2127,540,706,135,415,338,833,1171,477,659,294,608,130,2457,0,0,0,0,0,0,17,17,34,11,6,6,11,12,8,6950,130941,Conseco Fieldhouse,1.0,2.0,1,-15,52,-45,-50,91,247,11,-55,-44,23,68,30,-23,35,16,0,0,0,0,5,-5,4,-1.0,-1.3333333333333333,26.333333333333332,-20.666666666666668,-30.333333333333332,70.66666666666667,185.66666666666666,-2.0,-31.0,-33.0,27.333333333333332,39.666666666666664,29.333333333333332,-22.333333333333332,30.666666666666668,47.333333333333336,0.0,0.0,0.0,2.6666666666666665,5.666666666666667,-3.0,4.0,-0.6666666666666666,1.0
10,WNBA,IND,IND,EA,,1,1,0,W,W,L,Indiana Fever,890,2212,613,746,213,637,342,780,1122,527,692,373,531,117,2606,909,2118,529,692,154,483,318,849,1167,498,700,271,638,116,2501,0,0,0,0,0,0,22,12,34,14,3,8,9,17,5,6925,134964,Conseco Fieldhouse,6.0,4.0,1,-19,94,84,54,59,154,24,-69,-45,29,-8,102,-107,1,105,0,0,0,10,11,-1,12,2.0,-17.666666666666668,80.0,41.0,19.333333333333332,69.66666666666667,185.0,19.666666666666668,-64.33333333333333,-44.666666666666664,27.0,17.333333333333332,78.0,-79.0,12.333333333333334,75.33333333333333,0.0,0.0,0.0,6.666666666666667,9.0,-2.3333333333333335,9.333333333333334,1.0,
1,WNBA,LAS,LAS,WE,,1,1,0,W,L,,Los Angeles Sparks,861,1956,545,693,150,452,308,783,1091,586,705,271,466,156,2417,776,1963,495,692,122,413,300,678,978,445,650,243,485,105,2169,0,0,0,0,0,0,28,4,32,15,1,13,3,17,4,6450,105005,Staples Center,2.0,2.0,1,85,-7,50,1,28,39,8,105,113,141,55,28,-19,51,248,0,0,0,24,14,10,13,0.0,85.0,-7.0,50.0,1.0,28.0,39.0,8.0,105.0,113.0,141.0,55.0,28.0,-19.0,51.0,248.0,0.0,0.0,0.0,24.0,14.0,10.0,13.0,0.0,1.0
2,WNBA,LAS,LAS,WE,,1,1,0,W,W,W,Los Angeles Sparks,916,2031,449,594,160,436,350,755,1105,596,616,281,438,138,2441,779,1985,416,547,192,603,294,627,921,538,591,234,453,114,2166,0,0,0,0,0,0,28,4,32,16,0,12,4,19,2,6475,148446,Staples Center,6.0,1.0,3,137,46,33,47,-32,-167,56,128,184,58,25,47,-15,24,275,0,0,0,24,16,8,17,5.0,119.66666666666667,28.333333333333332,38.666666666666664,31.666666666666668,-12.0,-98.33333333333333,40.0,120.33333333333333,160.33333333333334,85.66666666666667,35.0,40.666666666666664,-16.333333333333332,33.0,266.0,0.0,0.0,0.0,24.0,15.333333333333334,8.666666666666666,15.666666666666666,3.3333333333333335,1.0
3,WNBA,LAS,LAS,WE,,1,1,0,W,W,W,Los Angeles Sparks,891,2002,476,645,194,515,329,814,1143,583,664,257,517,161,2452,796,2040,480,649,163,521,314,645,959,508,623,275,453,111,2235,0,0,0,0,0,0,25,7,32,12,4,13,3,17,4,6475,186410,Staples Center,6.0,0.0,2,95,-38,-4,-4,31,-6,15,169,184,75,41,-18,64,50,217,0,0,0,18,8,10,13,6.0,109.0,-10.0,8.333333333333334,13.0,10.0,-59.666666666666664,28.666666666666668,155.33333333333334,184.0,69.33333333333333,35.666666666666664,3.6666666666666665,37.666666666666664,41.333333333333336,236.33333333333334,0.0,0.0,0.0,20.0,10.666666666666666,9.333333333333334,14.333333333333334,5.666666666666667,1.0
4,WNBA,LAS,LAS,WE,,1,1,0,W,W,L,Los Angeles Sparks,894,2140,537,678,174,528,336,813,1149,587,682,242,470,161,2499,866,2147,504,702,196,540,316,789,1105,572,654,241,468,127,2432,0,0,0,0,0,0,24,10,34,11,6,13,4,17,7,6900,157934,Staples Center,5.0,4.0,1,28,-7,33,-24,-22,-12,20,24,44,15,28,1,2,34,67,0,0,0,14,5,9,10,1.0,50.333333333333336,-17.333333333333332,20.666666666666668,-17.333333333333332,-4.333333333333333,-10.0,18.333333333333332,72.33333333333333,90.66666666666667,35.0,32.333333333333336,-5.333333333333333,22.666666666666668,39.333333333333336,117.0,0.0,0.0,0.0,15.333333333333334,6.0,9.333333333333334,11.0,2.6666666666666665,1.0
5,WNBA,LAS,LAS,WE,,1,1,0,L,,,Los Angeles Sparks,904,2069,530,722,157,414,312,809,1121,626,731,262,529,148,2495,815,2095,557,761,174,511,339,727,1066,532,704,288,523,114,2361,0,0,0,0,0,0,25,9,34,15,2,10,7,16,6,6975,177269,Staples Center,1.0,2.0,2,89,-26,-27,-39,-17,-97,-27,82,55,94,27,-26,6,34,134,0,0,0,16,13,3,10,-1.0,68.66666666666667,-19.666666666666668,-7.0,-34.0,-18.666666666666668,-68.66666666666667,-11.333333333333334,62.666666666666664,51.333333333333336,67.66666666666667,27.333333333333332,-17.0,4.666666666666667,34.0,111.66666666666667,0.0,0.0,0.0,15.333333333333334,10.333333333333334,5.0,10.0,-0.3333333333333333,1.0
6,WNBA,LAS,LAS,WE,,4,1,0,L,,,Los Angeles Sparks,873,2042,456,630,124,387,321,683,1004,551,737,264,492,136,2326,818,1955,527,709,182,519,332,709,1041,567,654,247,544,115,2345,0,0,0,0,0,0,17,17,34,11,6,6,11,12,10,6800,150521,Staples Center,0.0,2.0,0,55,87,-71,-79,-58,-132,-11,-26,-37,-16,83,17,-52,21,-19,0,0,0,0,5,-5,2,-2.0,66.33333333333333,49.333333333333336,-56.333333333333336,-65.66666666666667,-44.333333333333336,-120.33333333333333,-16.333333333333332,10.0,-6.333333333333333,20.666666666666668,64.33333333333333,2.6666666666666665,-32.666666666666664,25.333333333333332,32.0,0.0,0.0,0.0,5.333333333333333,7.666666666666667,-2.3333333333333335,4.666666666666667,-1.6666666666666667,1.0
7,WNBA,LAS,LAS,WE,,1,1,0,W,L,,Los Angeles Sparks,962,2195,540,726,111,377,350,852,1202,610,679,296,534,129,2575,873,2184,534,721,196,570,336,746,1082,565,636,284,556,128,2476,0,0,0,0,0,0,25,9,34,15,2,10,7,15,5,6825,141282,Staples Center,2.0,3.0,3,89,11,6,5,-85,-193,14,106,120,45,43,12,-22,1,99,0,0,0,16,13,3,10,-1.0,77.66666666666667,36.333333333333336,-19.666666666666668,-23.0,-76.0,-172.66666666666666,5.666666666666667,62.0,67.66666666666667,24.666666666666668,56.333333333333336,13.666666666666666,-32.0,7.666666666666667,59.666666666666664,0.0,0.0,0.0,10.666666666666666,10.333333333333334,0.3333333333333333,7.333333333333333,-1.3333333333333333,0.0
8,WNBA,LAS,LAS,WE,,7,0,0,,,,Los Angeles Sparks,940,2305,493,627,160,456,356,783,1139,554,732,245,571,107,2533,954,2212,609,800,191,537,343,836,1179,616,605,290,550,137,2708,0,0,0,0,0,0,10,24,34,5,12,5,12,6,16,6900,147810,Staples Center,0.0,0.0,0,-14,93,-116,-173,-31,-81,13,-53,-40,-62,127,-45,21,-30,-175,0,0,0,-14,-7,-7,-10,0.0,20.333333333333332,65.66666666666667,-75.33333333333333,-113.66666666666667,-49.0,-118.33333333333333,13.333333333333334,0.0,13.333333333333334,-26.333333333333332,99.0,-26.0,6.666666666666667,-19.666666666666668,-83.66666666666667,0.0,0.0,0.0,-4.0,-0.3333333333333333,-3.6666666666666665,-3.3333333333333335,-0.3333333333333333,1.0
9,WNBA,LAS,LAS,WE,,3,1,0,W,L,,Los Angeles Sparks,954,2248,539,717,151,485,386,896,1282,613,713,251,608,216,2598,888,2310,562,751,185,547,359,768,1127,513,717,303,523,141,2523,0,0,0,0,0,0,20,14,34,12,5,8,9,12,8,7000,161639,Staples Center,3.0,3.0,3,66,-62,-23,-34,-34,-62,27,128,155,100,-4,-52,85,75,75,0,0,0,6,7,-1,4,0.0,39.333333333333336,-10.333333333333334,-54.0,-80.33333333333333,-33.0,-68.33333333333333,22.333333333333332,67.66666666666667,90.0,46.0,39.666666666666664,-49.666666666666664,63.666666666666664,40.0,-8.333333333333334,0.0,0.0,0.0,-0.6666666666666666,2.3333333333333335,-3.0,-0.6666666666666666,0.0,1.0
10,WNBA,LAS,LAS,WE,,3,1,0,W,L,,Los Angeles Sparks,973,2264,435,550,152,512,365,883,1248,587,583,217,568,166,2533,903,2262,479,623,213,636,320,730,1050,516,622,300,463,115,2498,0,0,0,0,0,0,18,16,34,11,6,7,10,11,9,6925,176587,Staples Center,3.0,3.0,0,70,2,-44,-73,-61,-124,45,153,198,71,-39,-83,105,51,35,0,0,0,2,5,-3,2,0.0,68.66666666666667,-19.333333333333332,-37.0,-60.0,-52.0,-103.33333333333333,39.0,144.66666666666666,183.66666666666666,80.66666666666667,-27.333333333333332,-72.66666666666667,98.33333333333333,59.0,48.333333333333336,0.0,0.0,0.0,3.3333333333333335,5.666666666666667,-2.3333333333333335,2.6666666666666665,0.0,
1,WNBA,MIA,MIA,EA,,6,0,0,,,,Miami Sol,647,1774,452,664,85,310,365,595,960,415,707,272,524,88,1831,715,1676,454,627,117,315,275,648,923,416,661,247,528,118,2001,0,0,0,0,0,0,13,19,32,9,7,4,12,9,12,6475,127721,AmericanAirlines Arena,0.0,0.0,0,-68,98,-2,37,-32,-5,90,-53,37,-1,46,25,-4,-30,-170,0,0,0,-6,2,-8,-3,0.0,-68.0,98.0,-2.0,37.0,-32.0,-5.0,90.0,-53.0,37.0,-1.0,46.0,25.0,-4.0,-30.0,-170.0,0.0,0.0,0.0,-6.0,2.0,-8.0,-3.0,0.0,1.0
2,WNBA,MIA,MIA,EA,,3,1,0,L,,,Miami Sol,754,1826,356,469,93,295,292,651,943,467,602,300,448,153,1957,679,1725,420,588,120,395,301,667,968,388,538,259,512,87,1898,0,0,0,0,0,0,20,12,32,10,6,10,6,14,7,6575,141717,AmericanAirlines Arena,1.0,2.0,1,75,101,-64,-119,-27,-100,-9,-16,-25,79,64,41,-64,66,59,0,0,0,8,4,4,7,-1.0,27.333333333333332,100.0,-43.333333333333336,-67.0,-28.666666666666668,-68.33333333333333,24.0,-28.333333333333332,-4.333333333333333,52.333333333333336,58.0,35.666666666666664,-44.0,34.0,-17.333333333333332,0.0,0.0,0.0,3.3333333333333335,3.3333333333333335,0.0,3.6666666666666665,-0.6666666666666666,0.0
3,WNBA,MIA,MIA,EA,,6,0,0,,,,Miami Sol,774,1856,369,529,129,389,296,573,869,476,643,274,435,96,2046,745,1722,469,614,129,382,278,693,971,446,588,222,515,104,2088,0,0,0,0,0,0,15,17,32,9,7,6,10,11,10,6475,141252,AmericanAirlines Arena,0.0,0.0,0,29,134,-100,-85,0,7,18,-120,-102,30,55,52,-80,-8,-42,0,0,0,-2,2,-4,1,0.0,44.333333333333336,123.0,-88.0,-96.33333333333333,-9.0,-28.666666666666668,9.0,-85.33333333333333,-76.33333333333333,46.333333333333336,58.0,48.333333333333336,-74.66666666666667,16.666666666666668,-8.333333333333334,0.0,0.0,0.0,1.3333333333333333,2.6666666666666665,-1.3333333333333333,3.0,-0.3333333333333333,
1,WNBA,MIN,MIN,WE,,6,0,0,,,,Minnesota Lynx,770,1831,449,592,204,571,258,612,870,495,690,237,497,63,2193,755,1758,514,702,164,481,300,677,977,472,707,275,547,130,2188,0,0,0,0,0,0,15,17,32,8,8,7,9,5,16,6425,116638,Target Center,0.0,0.0,1,15,73,-65,-110,40,90,-42,-65,-107,23,-17,-38,-50,-67,5,0,0,0,-2,0,-2,-11,0.0,15.0,73.0,-65.0,-110.0,40.0,90.0,-42.0,-65.0,-107.0,23.0,-17.0,-38.0,-50.0,-67.0,5.0,0.0,0.0,0.0,-2.0,0.0,-2.0,-11.0,0.0,0.0
2,WNBA,MIN,MIN,WE,,6,0,0,,,,Minnesota Lynx,671,1810,559,727,176,552,308,693,1001,437,695,210,507,127,2077,752,1927,499,624,153,472,328,688,1016,511,719,259,470,126,2156,0,0,0,0,0,0,12,20,32,6,10,6,10,9,12,6475,120607,Target Center,0.0,0.0,0,-81,-117,60,103,23,80,-20,5,-15,-74,-24,-49,37,1,-79,0,0,0,-8,-4,-4,-3,0.0,-49.0,-53.666666666666664,18.333333333333332,32.0,28.666666666666668,83.33333333333333,-27.333333333333332,-18.333333333333332,-45.666666666666664,-41.666666666666664,-21.666666666666668,-45.333333333333336,8.0,-21.666666666666668,-51.0,0.0,0.0,0.0,-6.0,-2.6666666666666665,-3.3333333333333335,-5.666666666666667,0.0,0.0
3,WNBA,MIN,MIN,WE,,8,0,0,,,,Minnesota Lynx,727,1775,383,578,166,500,309,650,959,466,617,226,529,102,2003,747,1807,469,613,141,389,302,612,914,495,618,273,465,117,2104,0,0,0,0,0,0,10,22,32,7,9,3,13,6,15,6475,139874,Target Center,0.0,0.0,0,-20,-32,-86,-35,25,111,7,38,45,-29,-1,-47,64,-15,-101,0,0,0,-12,-2,-10,-9,0.0,-40.333333333333336,-60.333333333333336,-37.333333333333336,11.0,24.333333333333332,100.66666666666667,-2.0,27.0,25.0,-44.0,-8.666666666666666,-47.666666666666664,55.0,-9.666666666666666,-93.66666666666667,0.0,0.0,0.0,-10.666666666666666,-2.6666666666666665,-8.0,-7.0,0.0,1.0
4,WNBA,MIN,MIN,WE,,4,1,0,L,,,Minnesota Lynx,875,1978,450,624,180,524,361,718,1079,580,634,242,558,101,2380,878,2067,473,633,141,446,337,652,989,528,666,271,471,126,2370,0,0,0,0,0,0,18,16,34,11,6,7,10,14,10,6850,120253,Target Center,1.0,2.0,0,-3,-89,-23,-9,39,78,24,66,90,52,-32,-29,87,-25,10,0,0,0,2,5,-3,4,-1.0,-8.666666666666666,-70.0,-44.0,-17.666666666666668,34.333333333333336,89.0,18.333333333333332,56.666666666666664,75.0,25.0,-21.666666666666668,-35.0,79.33333333333333,-21.666666666666668,-27.0,0.0,0.0,0.0,-2.6666666666666665,2.6666666666666665,-5.333333333333333,-0.3333333333333333,-0.6666666666666666,1.0
